"activity" "subject" "n"
"WALKING" 1 95
"WALKING" 25 74
"WALKING" 30 65
"WALKING" 17 61
"WALKING" 4 60
"WALKING" 2 59
"WALKING" 11 59
"WALKING" 14 59
"WALKING" 23 59
"WALKING" 26 59
"WALKING" 3 58
"WALKING" 24 58
"WALKING" 6 57
"WALKING" 7 57
"WALKING" 13 57
"WALKING" 27 57
"WALKING" 5 56
"WALKING" 18 56
"WALKING" 15 54
"WALKING" 28 54
"WALKING" 10 53
"WALKING" 29 53
"WALKING" 9 52
"WALKING" 19 52
"WALKING" 21 52
"WALKING" 16 51
"WALKING" 20 51
"WALKING" 12 50
"WALKING" 8 48
"WALKING" 22 46
"WALKING_UPSTAIRS" 25 65
"WALKING_UPSTAIRS" 30 65
"WALKING_UPSTAIRS" 3 59
"WALKING_UPSTAIRS" 24 59
"WALKING_UPSTAIRS" 18 58
"WALKING_UPSTAIRS" 13 55
"WALKING_UPSTAIRS" 26 55
"WALKING_UPSTAIRS" 11 54
"WALKING_UPSTAIRS" 14 54
"WALKING_UPSTAIRS" 1 53
"WALKING_UPSTAIRS" 4 52
"WALKING_UPSTAIRS" 12 52
"WALKING_UPSTAIRS" 6 51
"WALKING_UPSTAIRS" 7 51
"WALKING_UPSTAIRS" 16 51
"WALKING_UPSTAIRS" 20 51
"WALKING_UPSTAIRS" 23 51
"WALKING_UPSTAIRS" 27 51
"WALKING_UPSTAIRS" 28 51
"WALKING_UPSTAIRS" 9 49
"WALKING_UPSTAIRS" 29 49
"WALKING_UPSTAIRS" 2 48
"WALKING_UPSTAIRS" 15 48
"WALKING_UPSTAIRS" 17 48
"WALKING_UPSTAIRS" 5 47
"WALKING_UPSTAIRS" 10 47
"WALKING_UPSTAIRS" 21 47
"WALKING_UPSTAIRS" 22 42
"WALKING_UPSTAIRS" 8 41
"WALKING_UPSTAIRS" 19 40
"WALKING_DOWNSTAIRS" 30 62
"WALKING_DOWNSTAIRS" 25 58
"WALKING_DOWNSTAIRS" 18 55
"WALKING_DOWNSTAIRS" 24 55
"WALKING_DOWNSTAIRS" 23 54
"WALKING_DOWNSTAIRS" 26 50
"WALKING_DOWNSTAIRS" 1 49
"WALKING_DOWNSTAIRS" 3 49
"WALKING_DOWNSTAIRS" 6 48
"WALKING_DOWNSTAIRS" 29 48
"WALKING_DOWNSTAIRS" 2 47
"WALKING_DOWNSTAIRS" 5 47
"WALKING_DOWNSTAIRS" 7 47
"WALKING_DOWNSTAIRS" 13 47
"WALKING_DOWNSTAIRS" 16 47
"WALKING_DOWNSTAIRS" 11 46
"WALKING_DOWNSTAIRS" 12 46
"WALKING_DOWNSTAIRS" 17 46
"WALKING_DOWNSTAIRS" 28 46
"WALKING_DOWNSTAIRS" 4 45
"WALKING_DOWNSTAIRS" 14 45
"WALKING_DOWNSTAIRS" 20 45
"WALKING_DOWNSTAIRS" 21 45
"WALKING_DOWNSTAIRS" 27 44
"WALKING_DOWNSTAIRS" 9 42
"WALKING_DOWNSTAIRS" 15 42
"WALKING_DOWNSTAIRS" 19 39
"WALKING_DOWNSTAIRS" 8 38
"WALKING_DOWNSTAIRS" 10 38
"WALKING_DOWNSTAIRS" 22 36
"SITTING" 21 85
"SITTING" 26 78
"SITTING" 19 73
"SITTING" 28 72
"SITTING" 27 70
"SITTING" 16 69
"SITTING" 23 68
"SITTING" 24 68
"SITTING" 20 66
"SITTING" 25 65
"SITTING" 17 64
"SITTING" 22 62
"SITTING" 30 62
"SITTING" 29 60
"SITTING" 15 59
"SITTING" 18 57
"SITTING" 6 55
"SITTING" 10 54
"SITTING" 14 54
"SITTING" 11 53
"SITTING" 3 52
"SITTING" 12 51
"SITTING" 4 50
"SITTING" 9 50
"SITTING" 13 49
"SITTING" 7 48
"SITTING" 1 47
"SITTING" 2 46
"SITTING" 8 46
"SITTING" 5 44
"STANDING" 21 89
"STANDING" 27 80
"STANDING" 28 79
"STANDING" 16 78
"STANDING" 17 78
"STANDING" 25 74
"STANDING" 26 74
"STANDING" 18 73
"STANDING" 19 73
"STANDING" 20 73
"STANDING" 24 69
"STANDING" 23 68
"STANDING" 29 65
"STANDING" 22 63
"STANDING" 3 61
"STANDING" 12 61
"STANDING" 14 60
"STANDING" 30 59
"STANDING" 6 57
"STANDING" 13 57
"STANDING" 4 56
"STANDING" 5 56
"STANDING" 2 54
"STANDING" 8 54
"STANDING" 1 53
"STANDING" 7 53
"STANDING" 15 53
"STANDING" 11 47
"STANDING" 9 45
"STANDING" 10 44
"LAYING" 21 90
"LAYING" 19 83
"LAYING" 28 80
"LAYING" 26 76
"LAYING" 27 74
"LAYING" 25 73
"LAYING" 15 72
"LAYING" 22 72
"LAYING" 23 72
"LAYING" 24 72
"LAYING" 17 71
"LAYING" 16 70
"LAYING" 30 70
"LAYING" 29 69
"LAYING" 20 68
"LAYING" 18 65
"LAYING" 3 62
"LAYING" 13 62
"LAYING" 12 60
"LAYING" 10 58
"LAYING" 6 57
"LAYING" 11 57
"LAYING" 4 54
"LAYING" 8 54
"LAYING" 5 52
"LAYING" 7 52
"LAYING" 14 51
"LAYING" 1 50
"LAYING" 9 50
"LAYING" 2 48
